# H,R,Z,Y,J,F,K,W
-21.4722,-21.4722,-21.4722,-21.4722,-21.4722,-21.4722,-21.4722,-21.4722
16.1268,16.1268,16.1268,16.1268,16.1268,16.1268,16.1268,16.1268
-25.9054,-25.9054,-25.9054,-25.9054,-25.9054,-25.9054,-25.9054,-25.9054
-1.8790,-1.8790,-1.8790,-1.8790,-1.8790,-1.8790,-1.8790,-1.8790
1.4284,1.4284,1.4284,1.4284,1.4284,1.4284,1.4284,1.4284
8.7765,8.7765,8.7765,8.7765,8.7765,8.7765,8.7765,8.7765
5.3837,5.3837,5.3837,5.3837,5.3837,5.3837,5.3837,5.3837
0.0449,0.0449,0.0449,0.0449,0.0449,0.0449,0.0449,0.0449
-0.3899,-0.3899,-0.3899,-0.3899,-0.3899,-0.3899,-0.3899,-0.3899
-0.6656,-0.6656,-0.6656,-0.6656,-0.6656,-0.6656,-0.6656,-0.6656
2.3748,2.3748,2.3748,2.3748,2.3748,2.3748,2.3748,2.3748
-4.3651,-4.3651,-4.3651,-4.3651,-4.3651,-4.3651,-4.3651,-4.3651
2.8278,2.8278,2.8278,2.8278,2.8278,2.8278,2.8278,2.8278
0.2591,0.2591,0.2591,0.2591,0.2591,0.2591,0.2591,0.2591
-1.9012,-1.9012,-1.9012,-1.9012,-1.9012,-1.9012,-1.9012,-1.9012
0.3348,0.3348,0.3348,0.3348,0.3348,0.3348,0.3348,0.3348
-2.5260,-2.5260,-2.5260,-2.5260,-2.5260,-2.5260,-2.5260,-2.5260
-0.5003,-0.5003,-0.5003,-0.5003,-0.5003,-0.5003,-0.5003,-0.5003
-4.9623,-4.9623,-4.9623,-4.9623,-4.9623,-4.9623,-4.9623,-4.9623
0.4596,0.4596,0.4596,0.4596,0.4596,0.4596,0.4596,0.4596
1.2439,1.2439,1.2439,1.2439,1.2439,1.2439,1.2439,1.2439
4.2205,4.2205,4.2205,4.2205,4.2205,4.2205,4.2205,4.2205
-0.6756,-0.6756,-0.6756,-0.6756,-0.6756,-0.6756,-0.6756,-0.6756
-2.1174,-2.1174,-2.1174,-2.1174,-2.1174,-2.1174,-2.1174,-2.1174
-1.2130,-1.2130,-1.2130,-1.2130,-1.2130,-1.2130,-1.2130,-1.2130
-4.8817,-4.8817,-4.8817,-4.8817,-4.8817,-4.8817,-4.8817,-4.8817
8.7994,8.7994,8.7994,8.7994,8.7994,8.7994,8.7994,8.7994
5.5300,5.5300,5.5300,5.5300,5.5300,5.5300,5.5300,5.5300
0.1624,0.1624,0.1624,0.1624,0.1624,0.1624,0.1624,0.1624
1.6710,1.6710,1.6710,1.6710,1.6710,1.6710,1.6710,1.6710
14.3952,14.3952,14.3952,14.3952,14.3952,14.3952,14.3952,14.3952
12.7928,12.7928,12.7928,12.7928,12.7928,12.7928,12.7928,12.7928
10.5325,10.5325,10.5325,10.5325,10.5325,10.5325,10.5325,10.5325
6.4542,6.4542,6.4542,6.4542,6.4542,6.4542,6.4542,6.4542
11.3667,11.3667,11.3667,11.3667,11.3667,11.3667,11.3667,11.3667
0.1272,0.1272,0.1272,0.1272,0.1272,0.1272,0.1272,0.1272
5.3763,5.3763,5.3763,5.3763,5.3763,5.3763,5.3763,5.3763
-0.4303,-0.4303,-0.4303,-0.4303,-0.4303,-0.4303,-0.4303,-0.4303
1.9688,1.9688,1.9688,1.9688,1.9688,1.9688,1.9688,1.9688
12.8865,12.8865,12.8865,12.8865,12.8865,12.8865,12.8865,12.8865
0.1578,0.1578,0.1578,0.1578,0.1578,0.1578,0.1578,0.1578
13.5468,13.5468,13.5468,13.5468,13.5468,13.5468,13.5468,13.5468
-0.5712,-0.5712,-0.5712,-0.5712,-0.5712,-0.5712,-0.5712,-0.5712
2.4366,2.4366,2.4366,2.4366,2.4366,2.4366,2.4366,2.4366
0.4277,0.4277,0.4277,0.4277,0.4277,0.4277,0.4277,0.4277
1.8873,1.8873,1.8873,1.8873,1.8873,1.8873,1.8873,1.8873
0.9675,0.9675,0.9675,0.9675,0.9675,0.9675,0.9675,0.9675
-0.1711,-0.1711,-0.1711,-0.1711,-0.1711,-0.1711,-0.1711,-0.1711
-0.2778,-0.2778,-0.2778,-0.2778,-0.2778,-0.2778,-0.2778,-0.2778
9.3420,9.3420,9.3420,9.3420,9.3420,9.3420,9.3420,9.3420
2.1322,2.1322,2.1322,2.1322,2.1322,2.1322,2.1322,2.1322
-2.4245,-2.4245,-2.4245,-2.4245,-2.4245,-2.4245,-2.4245,-2.4245
