Energy (eV),Wavelength (um),ep1,ep2,n,k
4.593E+00,2.700E-01,1.255E-01,3.595E+00,1.364E+00,1.318E+00
4.429E+00,2.800E-01,6.453E-01,3.663E+00,1.477E+00,1.240E+00
4.276E+00,2.900E-01,9.800E-01,3.577E+00,1.531E+00,1.168E+00
4.133E+00,3.000E-01,1.757E+00,2.937E+00,1.609E+00,9.126E-01
4.000E+00,3.100E-01,1.616E+00,1.426E+00,1.373E+00,5.192E-01
3.875E+00,3.200E-01,5.597E-01,5.462E-01,8.191E-01,3.334E-01
3.758E+00,3.300E-01,-4.108E-01,2.992E-01,2.207E-01,6.779E-01
3.647E+00,3.400E-01,-1.162E+00,2.403E-01,1.109E-01,1.084E+00
3.543E+00,3.500E-01,-1.791E+00,2.264E-01,8.443E-02,1.341E+00
3.444E+00,3.600E-01,-2.355E+00,2.255E-01,7.339E-02,1.536E+00
3.351E+00,3.699E-01,-2.881E+00,2.286E-01,6.727E-02,1.699E+00
3.263E+00,3.799E-01,-3.387E+00,2.329E-01,6.325E-02,1.841E+00
3.180E+00,3.899E-01,-3.880E+00,2.379E-01,6.035E-02,1.971E+00
3.100E+00,3.999E-01,-4.366E+00,2.432E-01,5.817E-02,2.090E+00
3.024E+00,4.099E-01,-4.850E+00,2.488E-01,5.647E-02,2.203E+00
2.952E+00,4.199E-01,-5.334E+00,2.548E-01,5.515E-02,2.310E+00
2.884E+00,4.299E-01,-5.821E+00,2.612E-01,5.411E-02,2.413E+00
2.818E+00,4.399E-01,-6.310E+00,2.679E-01,5.332E-02,2.513E+00
2.756E+00,4.499E-01,-6.805E+00,2.751E-01,5.271E-02,2.609E+00
2.696E+00,4.599E-01,-7.305E+00,2.826E-01,5.227E-02,2.703E+00
2.638E+00,4.699E-01,-7.811E+00,2.906E-01,5.198E-02,2.795E+00
2.583E+00,4.799E-01,-8.324E+00,2.990E-01,5.181E-02,2.886E+00
2.531E+00,4.899E-01,-8.844E+00,3.079E-01,5.175E-02,2.974E+00
2.480E+00,4.999E-01,-9.372E+00,3.172E-01,5.180E-02,3.062E+00
2.431E+00,5.099E-01,-9.908E+00,3.270E-01,5.193E-02,3.148E+00
